Localización,Precio m2 jun 2022,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
Valencia/Valéncia,"9,0 €/m2","+ 2,4 %","+ 5,0 %","+ 9,8 %","9,7 €/m2 ago 2006","- 7,9 %"
València,"10,0 €/m2","+ 1,1 %","+ 2,8 %","+ 13,5 %","10,0 €/m2 jun 2022","0,0 %"
Euskadi,"12,4 €/m2","+ 0,3 %","+ 1,0 %","+ 2,1 %","12,4 €/m2 oct 2021","- 0,2 %"
Álava,"10,2 €/m2","+ 0,7 %","+ 1,6 %","+ 4,8 %","10,2 €/m2 jun 2022","0,0 %"
Vitoria-Gasteiz,"10,4 €/m2","- 0,2 %","+ 1,2 %","+ 4,0 %","10,4 €/m2 mayo 2022","- 0,2 %"
Guipúzcoa,"14,2 €/m2","+ 2,1 %","+ 2,8 %","+ 4,3 %","14,5 €/m2 nov 2021","- 2,3 %"
Donostia-San Sebastián,"15,3 €/m2","+ 2,7 %","+ 2,6 %","+ 6,2 %","15,8 €/m2 nov 2021","- 2,6 %"
Vizcaya,"12,1 €/m2","0,0 %","+ 1,4 %","+ 2,7 %","12,1 €/m2 jun 2022","0,0 %"
Bilbao,"12,7 €/m2","- 0,2 %","+ 0,3 %","+ 2,2 %","13,2 €/m2 feb 2020","- 4,1 %"
Extremadura,"5,7 €/m2","+ 1,5 %","+ 3,1 %","+ 4,9 %","5,7 €/m2 jun 2022","0,0 %"
Badajoz provincia,"5,8 €/m2","+ 1,7 %","+ 2,4 %","+ 2,4 %","5,8 €/m2 ago 2021","- 1,1 %"
Badajoz,"6,4 €/m2","+ 0,5 %","+ 1,4 %","+ 2,4 %","6,4 €/m2 dic 2021","- 0,1 %"
Cáceres provincia,"5,6 €/m2","+ 1,3 %","+ 4,5 %","+ 9,1 %","5,6 €/m2 jun 2022","0,0 %"
Cáceres,"6,3 €/m2","+ 1,6 %","+ 4,6 %","+ 13,2 %","6,3 €/m2 jun 2022","0,0 %"
Galicia,"7,8 €/m2","+ 1,4 %","+ 4,1 %","+ 4,8 %","8,7 €/m2 mayo 2007","- 10,8 %"
A Coruña provincia,"7,3 €/m2","+ 0,9 %","+ 2,0 %","+ 4,9 %","7,3 €/m2 abr 2008","- 0,7 %"
A Coruña,"8,4 €/m2","+ 0,2 %","+ 0,3 %","+ 5,3 %","8,4 €/m2 jun 2022","0,0 %"
Lugo provincia,"5,9 €/m2","+ 5,2 %","+ 8,4 %","+ 10,4 %","5,9 €/m2 jun 2022","0,0 %"
